,0,1
133,12/2/14 11:55:01 AM,80.18
134,12/2/14 12:25:01 PM,80.849
135,12/2/14 12:55:01 PM,81.383
136,12/2/14 1:25:01 PM,80.314
137,12/2/14 1:55:01 PM,80.448
138,12/2/14 2:25:01 PM,80.983
139,12/2/14 2:55:01 PM,80.983
140,12/2/14 3:25:01 PM,80.448
141,12/2/14 3:55:01 PM,80.983
142,12/2/14 4:25:01 PM,80.849
143,12/2/14 4:55:01 PM,80.983
144,12/2/14 5:25:01 PM,80.983
145,12/2/14 5:55:01 PM,81.517
146,12/2/14 6:25:01 PM,80.983
147,12/2/14 6:55:01 PM,81.25
148,12/2/14 7:25:01 PM,81.65
149,12/2/14 7:55:01 PM,81.916
150,12/2/14 8:25:01 PM,82.314
151,12/2/14 8:55:01 PM,81.783
152,12/2/14 9:25:01 PM,82.181
153,12/2/14 9:55:01 PM,82.181
154,12/2/14 10:25:01 PM,82.314
155,12/2/14 10:55:01 PM,82.447
156,12/2/14 11:25:01 PM,82.447
157,12/2/14 11:55:01 PM,82.314
158,12/3/14 12:25:01 AM,83.24
159,12/3/14 12:55:01 AM,83.371
160,12/3/14 1:25:01 AM,83.108
161,12/3/14 1:55:01 AM,83.371
162,12/3/14 2:25:01 AM,83.371
163,12/3/14 2:55:01 AM,83.371
164,12/3/14 3:25:01 AM,82.579
165,12/3/14 3:55:01 AM,83.503
166,12/3/14 4:25:01 AM,83.766
167,12/3/14 4:55:01 AM,83.898
168,12/3/14 5:25:01 AM,83.503
169,12/3/14 5:55:01 AM,83.766
170,12/3/14 6:25:01 AM,83.898
171,12/3/14 6:55:01 AM,84.029
172,12/3/14 7:25:01 AM,84.16
173,12/3/14 7:55:01 AM,84.945
174,12/3/14 8:25:01 AM,84.422
175,12/3/14 8:55:01 AM,84.422
176,12/3/14 9:25:01 AM,86.246
177,12/3/14 9:55:01 AM,84.815
178,12/3/14 10:25:01 AM,85.206
179,12/3/14 10:55:01 AM,84.684
180,12/3/14 11:25:01 AM,84.553
181,12/3/14 11:55:01 AM,84.684
182,12/3/14 12:25:01 PM,84.553
183,12/3/14 12:55:01 PM,85.076
184,12/3/14 1:25:01 PM,84.945
185,12/3/14 1:55:01 PM,84.945
186,12/3/14 2:25:01 PM,84.815
187,12/3/14 2:55:01 PM,85.206
188,12/3/14 3:25:01 PM,85.597
189,12/3/14 3:55:01 PM,85.206
190,12/3/14 4:25:01 PM,85.336
191,12/3/14 4:55:01 PM,85.856
192,12/3/14 5:25:01 PM,85.597
193,12/3/14 5:55:01 PM,87.278
194,12/3/14 6:25:01 PM,86.116
195,12/3/14 6:55:01 PM,86.375
196,12/3/14 7:25:01 PM,86.634
197,12/3/14 7:55:01 PM,86.763
198,12/3/14 8:25:01 PM,87.407
199,12/3/14 8:55:01 PM,86.504
200,12/3/14 9:25:01 PM,86.892
201,12/3/14 9:55:01 PM,87.021
202,12/3/14 10:25:01 PM,87.15
203,12/3/14 10:55:01 PM,86.375
204,12/3/14 11:25:01 PM,87.15
205,12/3/14 11:55:01 PM,86.763
206,12/4/14 12:25:01 AM,87.407
207,12/4/14 12:55:01 AM,87.792
208,12/4/14 1:25:01 AM,87.792
209,12/4/14 1:55:01 AM,87.921
210,12/4/14 2:25:01 AM,87.536
211,12/4/14 2:55:01 AM,87.278
212,12/4/14 3:25:01 AM,87.921
213,12/4/14 3:55:01 AM,87.921
214,12/4/14 4:25:01 AM,88.177
215,12/4/14 4:55:01 AM,87.921
216,12/4/14 5:25:01 AM,88.433
217,12/4/14 5:55:01 AM,87.15
218,12/4/14 6:25:01 AM,88.049
219,12/4/14 6:55:01 AM,87.664
220,12/4/14 7:25:01 AM,88.433
221,12/4/14 7:55:01 AM,87.921
222,12/4/14 8:25:01 AM,87.278
223,12/4/14 8:55:01 AM,89.325
224,12/4/14 9:25:01 AM,88.049
225,12/4/14 9:55:01 AM,88.816
226,12/4/14 10:25:01 AM,87.664
227,12/4/14 10:55:01 AM,88.943
228,12/4/14 11:25:01 AM,89.959
229,12/4/14 11:55:01 AM,88.56
230,12/4/14 12:25:01 PM,88.943
231,12/4/14 12:55:01 PM,88.943
232,12/4/14 1:25:01 PM,89.07
233,12/4/14 1:55:01 PM,89.07
234,12/4/14 2:25:01 PM,88.816
235,12/4/14 2:55:01 PM,88.816
236,12/4/14 3:25:01 PM,89.325
237,12/4/14 3:55:01 PM,89.198
238,12/4/14 4:25:01 PM,89.706
239,12/4/14 4:55:01 PM,89.452
240,12/4/14 5:25:01 PM,89.706
241,12/4/14 5:55:01 PM,89.452
242,12/4/14 6:25:01 PM,89.579
243,12/4/14 6:55:01 PM,90.085
244,12/4/14 7:25:01 PM,89.832
245,12/4/14 7:55:01 PM,90.338
246,12/4/14 8:25:01 PM,90.464
247,12/4/14 8:55:01 PM,90.085
248,12/4/14 9:25:01 PM,89.452
249,12/4/14 9:55:01 PM,90.338
250,12/4/14 10:25:01 PM,90.338
251,12/4/14 10:55:01 PM,90.716
252,12/4/14 11:25:01 PM,90.085
253,12/4/14 11:55:01 PM,90.212
254,12/5/14 12:25:01 AM,90.338
255,12/5/14 12:55:01 AM,90.338
256,12/5/14 1:25:01 AM,90.212
257,12/5/14 1:55:01 AM,90.716
258,12/5/14 2:25:01 AM,90.716
259,12/5/14 2:55:01 AM,91.345
260,12/5/14 3:25:01 AM,92.345
261,12/5/14 3:55:01 AM,90.968
262,12/5/14 4:25:01 AM,90.968
263,12/5/14 4:55:01 AM,91.345
264,12/5/14 5:25:01 AM,91.846
265,12/5/14 5:55:01 AM,90.842
266,12/5/14 6:25:01 AM,91.971
267,12/5/14 6:55:01 AM,91.846
268,12/5/14 7:25:01 AM,91.971
269,12/5/14 7:55:01 AM,91.094
270,12/5/14 8:25:01 AM,91.846
271,12/5/14 8:55:01 AM,91.596
272,12/5/14 9:25:01 AM,90.716
273,12/5/14 9:55:01 AM,90.842
274,12/5/14 10:25:01 AM,92.221
275,12/5/14 10:55:01 AM,92.221
276,12/5/14 11:25:01 AM,92.345
277,12/5/14 11:55:01 AM,92.719
278,12/5/14 12:25:01 PM,92.096
279,12/5/14 12:55:01 PM,91.47
280,12/5/14 1:25:01 PM,92.47
281,12/5/14 1:55:01 PM,92.719
282,12/5/14 2:25:01 PM,92.594
283,12/5/14 2:55:01 PM,92.843
284,12/5/14 3:25:01 PM,92.221
285,12/5/14 3:55:01 PM,93.091
286,12/5/14 4:25:01 PM,92.967
287,12/5/14 4:55:01 PM,93.587
288,12/5/14 5:25:01 PM,92.719
289,12/5/14 5:55:01 PM,93.091
290,12/5/14 6:25:01 PM,93.091
291,12/5/14 6:55:01 PM,93.339
292,12/5/14 7:25:01 PM,92.967
293,12/5/14 7:55:01 PM,92.967
294,12/5/14 8:25:01 PM,93.463
295,12/5/14 8:55:01 PM,93.215
296,12/5/14 9:25:01 PM,93.091
297,12/5/14 9:55:01 PM,93.215
298,12/5/14 10:25:01 PM,93.339
299,12/5/14 10:55:01 PM,93.463
300,12/5/14 11:25:01 PM,93.71
301,12/5/14 11:55:01 PM,93.71
302,12/6/14 12:25:01 AM,93.215
303,12/6/14 12:55:01 AM,93.957
304,12/6/14 1:25:01 AM,93.71
305,12/6/14 1:55:01 AM,93.71
306,12/6/14 2:25:01 AM,93.957
307,12/6/14 2:55:01 AM,93.71
308,12/6/14 3:25:01 AM,93.834
309,12/6/14 3:55:01 AM,93.71
